waypoint_id,x,y,z
0,6.5750,-3.3750,0.0000
1,1.6750,-3.3750,0.0000
2,0.5750,-2.2750,0.0000
3,-2.6250,-2.2750,0.0000
4,-3.7250,-1.1750,0.0000
5,-3.8250,-1.1750,0.0000
6,-3.8750,-1.1250,0.0000
7,-7.2250,-1.1250,0.0000
8,-8.1250,-0.2250,0.0000
