waypoint_id,x,y,z
0,-8.6250,-1.6250,0.0000
1,-8.6750,-1.5750,0.0000
2,-8.6750,-1.3250,0.0000
3,-8.5250,-1.1750,0.0000
4,-8.4250,-1.1750,0.0000
5,-8.3750,-1.1250,0.0000
6,-4.3250,-1.1250,0.0000
7,-3.1750,0.0250,0.0000
8,-1.3250,0.0250,0.0000
9,-1.2250,0.1250,0.0000
