waypoint_id,x,y,z
0,7.0750,-3.2250,0.0000
1,1.7750,-3.2250,0.0000
2,1.0250,-2.4750,0.0000
3,-2.4250,-2.4750,0.0000
4,-3.7250,-1.1750,0.0000
5,-3.8250,-1.1750,0.0000
6,-3.8750,-1.1250,0.0000
7,-6.8250,-1.1250,0.0000
8,-7.8250,-0.1250,0.0000
