waypoint_id,x,y,z
0,1.2750,2.0250,0.0000
1,1.2750,1.8750,0.0000
2,5.6750,-2.5250,0.0000
3,5.6750,-2.8750,0.0000
4,6.6250,-3.8250,0.0000
