waypoint_id,x,y,z
0,4.0050,-1.0950,0.0000
1,4.0050,-0.7950,0.0000
2,3.9050,-0.6950,0.0000
3,3.9050,-0.3450,0.0000
4,3.8550,-0.2950,0.0000
5,3.8550,0.1550,0.0000
6,2.5550,1.4550,0.0000
7,2.5550,1.5050,0.0000
8,2.0550,2.0050,0.0000
9,2.0550,2.1050,0.0000
10,2.0050,2.1550,0.0000
11,2.0050,3.9050,0.0000
12,2.4050,4.3050,0.0000
13,2.4050,4.7550,0.0000
14,2.5050,4.8550,0.0000
