waypoint_id,x,y,z
0,-1.9750,-0.4750,0.0000
1,-0.5250,-1.9250,0.0000
2,-0.4250,-1.9250,0.0000
3,-0.3750,-1.9750,0.0000
4,-0.1750,-1.9750,0.0000
5,-0.1250,-2.0250,0.0000
6,-0.0250,-2.0250,0.0000
7,0.0250,-2.0750,0.0000
8,0.3250,-2.0750,0.0000
9,0.4750,-2.2250,0.0000
10,0.6250,-2.2250,0.0000
11,0.7250,-2.3250,0.0000
12,0.8250,-2.3250,0.0000
13,0.8750,-2.3750,0.0000
14,2.1750,-2.3750,0.0000
15,3.2250,-3.4250,0.0000
16,6.8250,-3.4250,0.0000
