waypoint_id,x,y,z
0,2.4550,4.7050,0.0000
1,2.4550,4.5550,0.0000
2,-3.3950,-1.2950,0.0000
3,-3.4450,-1.2950,0.0000
4,-3.4950,-1.3450,0.0000
5,-3.5950,-1.3450,0.0000
6,-3.6450,-1.3950,0.0000
7,-6.9450,-1.3950,0.0000
8,-8.4450,-2.8950,0.0000
