waypoint_id,x,y,z
0,-0.0250,-0.0250,0.0000
1,2.2250,-0.0250,0.0000
2,2.7250,-0.5250,0.0000
3,2.7250,-0.6250,0.0000
4,5.1250,-3.0250,0.0000
5,5.1250,-3.1250,0.0000
6,5.8250,-3.8250,0.0000
