waypoint_id,x,y,z
0,6.5750,-3.0250,0.0000
1,1.4250,-3.0250,0.0000
2,0.5250,-2.1250,0.0000
3,-2.7750,-2.1250,0.0000
4,-3.7250,-1.1750,0.0000
5,-3.8250,-1.1750,0.0000
6,-3.8750,-1.1250,0.0000
7,-5.4250,-1.1250,0.0000
8,-5.4750,-1.0750,0.0000
9,-6.6250,-1.0750,0.0000
10,-7.5750,-0.1250,0.0000
