waypoint_id,x,y,z
0,6.1750,-2.8750,0.0000
1,6.1750,-2.7250,0.0000
2,1.7750,1.6750,0.0000
3,1.7750,2.0750,0.0000
4,1.2250,2.6250,0.0000
